epoch,policy_loss_epoch,policy_loss_step,step,total_loss_epoch,total_loss_step,value_loss_epoch,value_loss_step
0,,6.871553897857666,49,,6.892622947692871,,0.021069252863526344
0,,6.720663070678711,99,,6.774837970733643,,0.05417489632964134
0,,6.529550552368164,149,,6.534939765930176,,0.005389358848333359
0,,6.480266571044922,199,,6.521445274353027,,0.04117852449417114
0,6.739495277404785,,227,6.777031421661377,,0.03753714635968208,
1,,6.074914455413818,249,,6.095605850219727,,0.020691299811005592
1,,5.874591827392578,299,,5.91477632522583,,0.04018446058034897
1,,5.309587478637695,349,,5.3170623779296875,,0.007474781945347786
1,,5.160994529724121,399,,5.195568084716797,,0.03457368165254593
1,,5.036047458648682,449,,5.057097434997559,,0.021049797534942627
1,5.587162971496582,,455,5.620122909545898,,0.03295888006687164,
2,,4.944171905517578,499,,4.979912281036377,,0.035740502178668976
2,,4.781825065612793,549,,4.7853684425354,,0.0035433510784059763
2,,4.594515323638916,599,,4.601241111755371,,0.006725788116455078
2,,4.674676895141602,649,,4.7384748458862305,,0.06379810720682144
2,4.750126361846924,,683,4.781955242156982,,0.03182745352387428,
3,,4.554798603057861,699,,4.590939044952393,,0.03614039346575737
3,,4.5129523277282715,749,,4.572805404663086,,0.059853315353393555
3,,4.399190902709961,799,,4.419554710388184,,0.02036372199654579
3,,4.419762134552002,849,,4.449930191040039,,0.03016805090010166
3,,4.383275032043457,899,,4.404221057891846,,0.020945999771356583
3,4.508127689361572,,911,4.537166595458984,,0.029040643945336342,
4,,4.450468063354492,949,,4.460362434387207,,0.009894577786326408
4,,4.448418617248535,999,,4.461153030395508,,0.012734481133520603
4,,4.497663497924805,1049,,4.511213779449463,,0.013550068251788616
4,,4.42437744140625,1099,,4.43520975112915,,0.010832379572093487
4,4.390508651733398,,1139,4.410248279571533,,0.019739609211683273,
5,,4.333510398864746,1149,,4.356786251068115,,0.023276010528206825
5,,4.376308441162109,1199,,4.381315231323242,,0.005006648600101471
5,,4.313199043273926,1249,,4.316339492797852,,0.003140266053378582
5,,4.2102251052856445,1299,,4.219708442687988,,0.009483139961957932
5,,4.241158485412598,1349,,4.2444024085998535,,0.003244111780077219
5,4.314125061035156,,1367,4.3251953125,,0.01107001956552267,
6,,4.23335075378418,1399,,4.235949993133545,,0.0025994665920734406
6,,4.249580383300781,1449,,4.252477645874023,,0.0028974004089832306
6,,4.257415771484375,1499,,4.2650604248046875,,0.007644425146281719
6,,4.221802711486816,1549,,4.239348888397217,,0.01754636876285076
6,4.25956916809082,,1595,4.267189979553223,,0.007621671538800001,
7,,4.189757823944092,1599,,4.190983772277832,,0.0012259669601917267
7,,4.257043838500977,1649,,4.259561538696289,,0.002517531393095851
7,,4.229325771331787,1699,,4.236752986907959,,0.007427169941365719
7,,4.2288432121276855,1749,,4.229820251464844,,0.0009769832249730825
7,,4.155799865722656,1799,,4.156946659088135,,0.0011470129247754812
7,4.218942642211914,,1823,4.225063800811768,,0.006121249403804541,
8,,4.1971330642700195,1849,,4.214254379272461,,0.01712111569941044
8,,4.160706520080566,1899,,4.161778450012207,,0.0010717322584241629
8,,4.156945705413818,1949,,4.158085346221924,,0.0011396498885005713
8,,4.208597660064697,1999,,4.211795330047607,,0.003197495825588703
8,,4.183864593505859,2049,,4.185782432556152,,0.0019180488307029009
8,4.184482097625732,,2051,4.1898016929626465,,0.00531923770904541,
9,,4.1113691329956055,2099,,4.112151145935059,,0.0007821827312000096
9,,4.091080665588379,2149,,4.092737674713135,,0.0016571548767387867
9,,4.141548156738281,2199,,4.142502784729004,,0.0009548619273118675
9,,4.223667144775391,2249,,4.226019859313965,,0.0023526933509856462
9,4.154396057128906,,2279,4.15912389755249,,0.004728438798338175,
